title,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
RampageMovie,61,61,114,114,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0
InfinityWar,375,375,294,294,294,294,294,294,294,292,292,292,292,292,292,292,205,205,205
Deadpool2,588,588,373,373,373,373,373,373,373,267,267,267,267,267,267,267,196,196,196
AdriftMovie,185,185,131,131,131,131,131,131,131,75,75,75,75,75,75,75,0,0,0
Hereditary,305,305,201,201,201,201,201,201,201,127,127,127,127,127,127,127,71,71,71
Oceans8,1618,1618,1002,1002,1002,1002,1002,1002,1002,518,518,518,518,518,518,518,248,248,248
MrRogersMovie,868,868,730,730,730,730,730,730,730,464,464,464,464,464,464,464,284,284,284
Gotti,31,31,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
TagMovie,982,982,581,581,581,581,581,581,581,308,308,308,308,308,308,308,202,202,202
JurassicWorld,3695,3695,3381,3381,3381,3381,3381,3381,3381,2685,2685,2685,2685,2685,2685,2685,1914,1914,1914
LeaveNoTrace,311,311,361,361,361,361,361,361,361,289,289,289,289,289,289,289,169,169,169
sanju,223,223,112,112,112,112,112,112,112,44,44,44,44,44,44,44,16,16,16
Sicario,2006,2006,1448,1448,1448,1448,1448,1448,1448,574,574,574,574,574,574,574,216,216,216
UncleDrew,1702,1702,1237,1237,1237,1237,1237,1237,1237,532,532,532,532,532,532,532,202,202,202
TheFirstPurge,3038,3038,2331,2331,2331,2331,2331,2331,2331,1400,1400,1400,1400,1400,1400,1400,708,708,708
AntMan,4206,4206,3778,3778,3778,3778,3778,3778,3778,3013,3013,3013,3013,3013,3013,3013,2233,2233,2233
SorryToBotherYou,805,805,1050,1050,1050,1050,1050,1050,1050,802,802,802,802,802,802,802,404,404,404
Soorma,50,50,50,50,50,50,50,50,50,18,18,18,18,18,18,18,0,0,0
EighthGrade,4,4,33,33,33,33,33,33,33,158,158,158,158,158,158,158,1084,1084,1084
HotelT3,4267,4267,4267,4267,4267,4267,4267,4267,4267,4005,4005,4005,4005,4005,4005,4005,3162,3162,3162
SkyscraperMovie,3782,3782,3822,3822,3822,3822,3822,3822,3822,2773,2773,2773,2773,2773,2773,2773,1523,1523,1523
Incredibles2,3705,3705,3164,3164,3164,3164,3164,3164,3164,2616,2616,2616,2616,2616,2616,2616,1802,1802,1802
Blindspotting,0,0,14,14,14,14,14,14,14,523,523,523,523,523,523,523,523,523,523
MammaMia2,0,0,3317,3317,3317,3317,3317,3317,3317,3514,3514,3514,3514,3514,3514,3514,3359,3359,3359
TheEqualizer2,0,0,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,3388,2725,2725,2725
UnfriendedMovie,0,0,1546,1546,1546,1546,1546,1546,1546,1547,1547,1547,1547,1547,1547,1547,208,208,208
MissionImpossible,0,0,0,0,0,0,0,0,0,4386,4386,4386,4386,4386,4386,4386,4395,4395,4395
TeenTitansGOMovie,0,0,0,0,0,0,0,0,0,3188,3188,3188,3188,3188,3188,3188,3188,3188,3188
ChristopherRobin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3602,3602,3602
nevergoinback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
TheSpyWhoDumpedMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,3111,3111
